feature_code,name,type,year,age,sex,number_assessed
S92000003,Scotland,Scotland,2006/07,All,All,12186
S92000003,Scotland,Scotland,2007/08,All,All,12931
S92000003,Scotland,Scotland,2008/09,All,All,12117
S92000003,Scotland,Scotland,2009/10,All,All,11317
S92000003,Scotland,Scotland,2010/11,All,All,11427
S92000003,Scotland,Scotland,2011/12,All,All,11335
S92000003,Scotland,Scotland,2012/13,All,All,11672
S92000003,Scotland,Scotland,2013/14,All,All,NA
S92000003,Scotland,Scotland,2014/15,All,All,12524
S92000003,Scotland,Scotland,2015/16,All,All,12140
S92000003,Scotland,Scotland,2016/17,All,All,11896
S92000003,Scotland,Scotland,2017/18,All,All,11031
S92000003,Scotland,Scotland,2018/19,All,All,10757
S12000033,Aberdeen City,Local Authority,2006/07,All,All,412
S12000033,Aberdeen City,Local Authority,2007/08,All,All,676
S12000033,Aberdeen City,Local Authority,2008/09,All,All,555
S12000033,Aberdeen City,Local Authority,2009/10,All,All,524
S12000033,Aberdeen City,Local Authority,2010/11,All,All,511
S12000033,Aberdeen City,Local Authority,2011/12,All,All,500
S12000033,Aberdeen City,Local Authority,2012/13,All,All,640
S12000033,Aberdeen City,Local Authority,2013/14,All,All,723
S12000033,Aberdeen City,Local Authority,2014/15,All,All,736
S12000033,Aberdeen City,Local Authority,2015/16,All,All,865
S12000033,Aberdeen City,Local Authority,2016/17,All,All,677
S12000033,Aberdeen City,Local Authority,2017/18,All,All,730
S12000033,Aberdeen City,Local Authority,2018/19,All,All,624
S12000034,Aberdeenshire,Local Authority,2006/07,All,All,354
S12000034,Aberdeenshire,Local Authority,2007/08,All,All,303
S12000034,Aberdeenshire,Local Authority,2008/09,All,All,296
S12000034,Aberdeenshire,Local Authority,2009/10,All,All,283
S12000034,Aberdeenshire,Local Authority,2010/11,All,All,372
S12000034,Aberdeenshire,Local Authority,2011/12,All,All,399
S12000034,Aberdeenshire,Local Authority,2012/13,All,All,345
S12000034,Aberdeenshire,Local Authority,2013/14,All,All,328
S12000034,Aberdeenshire,Local Authority,2014/15,All,All,346
S12000034,Aberdeenshire,Local Authority,2015/16,All,All,327
S12000034,Aberdeenshire,Local Authority,2016/17,All,All,572
S12000034,Aberdeenshire,Local Authority,2017/18,All,All,486
S12000034,Aberdeenshire,Local Authority,2018/19,All,All,545
S12000041,Angus,Local Authority,2006/07,All,All,177
S12000041,Angus,Local Authority,2007/08,All,All,317
S12000041,Angus,Local Authority,2008/09,All,All,264
S12000041,Angus,Local Authority,2009/10,All,All,163
S12000041,Angus,Local Authority,2010/11,All,All,144
S12000041,Angus,Local Authority,2011/12,All,All,144
S12000041,Angus,Local Authority,2012/13,All,All,190
S12000041,Angus,Local Authority,2013/14,All,All,NA
S12000041,Angus,Local Authority,2014/15,All,All,193
S12000041,Angus,Local Authority,2015/16,All,All,184
S12000041,Angus,Local Authority,2016/17,All,All,129
S12000041,Angus,Local Authority,2017/18,All,All,77
S12000041,Angus,Local Authority,2018/19,All,All,71
S12000035,Argyll and Bute,Local Authority,2006/07,All,All,148
S12000035,Argyll and Bute,Local Authority,2007/08,All,All,159
S12000035,Argyll and Bute,Local Authority,2008/09,All,All,158
S12000035,Argyll and Bute,Local Authority,2009/10,All,All,135
S12000035,Argyll and Bute,Local Authority,2010/11,All,All,88
S12000035,Argyll and Bute,Local Authority,2011/12,All,All,78
S12000035,Argyll and Bute,Local Authority,2012/13,All,All,55
S12000035,Argyll and Bute,Local Authority,2013/14,All,All,79
S12000035,Argyll and Bute,Local Authority,2014/15,All,All,74
S12000035,Argyll and Bute,Local Authority,2015/16,All,All,53
S12000035,Argyll and Bute,Local Authority,2016/17,All,All,56
S12000035,Argyll and Bute,Local Authority,2017/18,All,All,74
S12000035,Argyll and Bute,Local Authority,2018/19,All,All,44
S12000008,East Ayrshire,Local Authority,2006/07,All,All,466
S12000008,East Ayrshire,Local Authority,2007/08,All,All,385
S12000008,East Ayrshire,Local Authority,2008/09,All,All,463
S12000008,East Ayrshire,Local Authority,2009/10,All,All,464
S12000008,East Ayrshire,Local Authority,2010/11,All,All,457
S12000008,East Ayrshire,Local Authority,2011/12,All,All,452
S12000008,East Ayrshire,Local Authority,2012/13,All,All,369
S12000008,East Ayrshire,Local Authority,2013/14,All,All,511
S12000008,East Ayrshire,Local Authority,2014/15,All,All,491
S12000008,East Ayrshire,Local Authority,2015/16,All,All,451
S12000008,East Ayrshire,Local Authority,2016/17,All,All,372
S12000008,East Ayrshire,Local Authority,2017/18,All,All,294
S12000008,East Ayrshire,Local Authority,2018/19,All,All,374
S12000021,North Ayrshire,Local Authority,2006/07,All,All,466
S12000021,North Ayrshire,Local Authority,2007/08,All,All,342
S12000021,North Ayrshire,Local Authority,2008/09,All,All,449
S12000021,North Ayrshire,Local Authority,2009/10,All,All,681
S12000021,North Ayrshire,Local Authority,2010/11,All,All,620
S12000021,North Ayrshire,Local Authority,2011/12,All,All,441
S12000021,North Ayrshire,Local Authority,2012/13,All,All,446
S12000021,North Ayrshire,Local Authority,2013/14,All,All,539
S12000021,North Ayrshire,Local Authority,2014/15,All,All,455
S12000021,North Ayrshire,Local Authority,2015/16,All,All,491
S12000021,North Ayrshire,Local Authority,2016/17,All,All,400
S12000021,North Ayrshire,Local Authority,2017/18,All,All,350
S12000021,North Ayrshire,Local Authority,2018/19,All,All,412
S12000028,South Ayrshire,Local Authority,2006/07,All,All,219
S12000028,South Ayrshire,Local Authority,2007/08,All,All,235
S12000028,South Ayrshire,Local Authority,2008/09,All,All,190
S12000028,South Ayrshire,Local Authority,2009/10,All,All,247
S12000028,South Ayrshire,Local Authority,2010/11,All,All,254
S12000028,South Ayrshire,Local Authority,2011/12,All,All,280
S12000028,South Ayrshire,Local Authority,2012/13,All,All,269
S12000028,South Ayrshire,Local Authority,2013/14,All,All,320
S12000028,South Ayrshire,Local Authority,2014/15,All,All,287
S12000028,South Ayrshire,Local Authority,2015/16,All,All,236
