_id,FinancialYear,CA,CAQF,AgeGroup,AgeGroupQF,Sex,SexQF,NumberAssessed,NumberAssessedQF,PercentAssessed,PercentAssessedQF
1,2006/07,S92000003,d,All,d,All,d,12186,"",100,""
2,2007/08,S92000003,d,All,d,All,d,12931,"",100,""
3,2008/09,S92000003,d,All,d,All,d,12117,"",100,""
4,2009/10,S92000003,d,All,d,All,d,11317,"",100,""
5,2010/11,S92000003,d,All,d,All,d,11427,"",100,""
6,2011/12,S92000003,d,All,d,All,d,11335,"",100,""
7,2012/13,S92000003,d,All,d,All,d,11672,"",100,""
8,2013/14,S92000003,d,All,d,All,d,,:,,:
9,2014/15,S92000003,d,All,d,All,d,12524,"",100,""
10,2015/16,S92000003,d,All,d,All,d,12140,"",100,""
11,2016/17,S92000003,d,All,d,All,d,11896,"",100,""
12,2017/18,S92000003,d,All,d,All,d,11031,"",100,""
13,2018/19,S92000003,d,All,d,All,d,10757,"",100,""
14,2006/07,S12000033,"",All,d,All,d,412,"",100,""
15,2007/08,S12000033,"",All,d,All,d,676,"",100,""
16,2008/09,S12000033,"",All,d,All,d,555,"",100,""
17,2009/10,S12000033,"",All,d,All,d,524,"",100,""
18,2010/11,S12000033,"",All,d,All,d,511,"",100,""
19,2011/12,S12000033,"",All,d,All,d,500,"",100,""
20,2012/13,S12000033,"",All,d,All,d,640,"",100,""
21,2013/14,S12000033,"",All,d,All,d,723,"",100,""
22,2014/15,S12000033,"",All,d,All,d,736,"",100,""
23,2015/16,S12000033,"",All,d,All,d,865,"",100,""
24,2016/17,S12000033,"",All,d,All,d,677,"",100,""
25,2017/18,S12000033,"",All,d,All,d,730,"",100,""
26,2018/19,S12000033,"",All,d,All,d,624,"",100,""
27,2006/07,S12000034,"",All,d,All,d,354,"",100,""
28,2007/08,S12000034,"",All,d,All,d,303,"",100,""
29,2008/09,S12000034,"",All,d,All,d,296,"",100,""
30,2009/10,S12000034,"",All,d,All,d,283,"",100,""
31,2010/11,S12000034,"",All,d,All,d,372,"",100,""
32,2011/12,S12000034,"",All,d,All,d,399,"",100,""
33,2012/13,S12000034,"",All,d,All,d,345,"",100,""
34,2013/14,S12000034,"",All,d,All,d,328,"",100,""
35,2014/15,S12000034,"",All,d,All,d,346,"",100,""
36,2015/16,S12000034,"",All,d,All,d,327,"",100,""
37,2016/17,S12000034,"",All,d,All,d,572,"",100,""
38,2017/18,S12000034,"",All,d,All,d,486,"",100,""
39,2018/19,S12000034,"",All,d,All,d,545,"",100,""
40,2006/07,S12000041,"",All,d,All,d,177,"",100,""
41,2007/08,S12000041,"",All,d,All,d,317,"",100,""
42,2008/09,S12000041,"",All,d,All,d,264,"",100,""
43,2009/10,S12000041,"",All,d,All,d,163,"",100,""
44,2010/11,S12000041,"",All,d,All,d,144,"",100,""
45,2011/12,S12000041,"",All,d,All,d,144,"",100,""
46,2012/13,S12000041,"",All,d,All,d,190,"",100,""
47,2013/14,S12000041,"",All,d,All,d,,:,,:
48,2014/15,S12000041,"",All,d,All,d,193,"",100,""
49,2015/16,S12000041,"",All,d,All,d,184,"",100,""
50,2016/17,S12000041,"",All,d,All,d,129,"",100,""
51,2017/18,S12000041,"",All,d,All,d,77,"",100,""
52,2018/19,S12000041,"",All,d,All,d,71,"",100,""
53,2006/07,S12000035,"",All,d,All,d,148,"",100,""
54,2007/08,S12000035,"",All,d,All,d,159,"",100,""
55,2008/09,S12000035,"",All,d,All,d,158,"",100,""
56,2009/10,S12000035,"",All,d,All,d,135,"",100,""
57,2010/11,S12000035,"",All,d,All,d,88,"",100,""
58,2011/12,S12000035,"",All,d,All,d,78,"",100,""
59,2012/13,S12000035,"",All,d,All,d,55,"",100,""
60,2013/14,S12000035,"",All,d,All,d,79,"",100,""
61,2014/15,S12000035,"",All,d,All,d,74,"",100,""
62,2015/16,S12000035,"",All,d,All,d,53,"",100,""
63,2016/17,S12000035,"",All,d,All,d,56,"",100,""
64,2017/18,S12000035,"",All,d,All,d,74,"",100,""
65,2018/19,S12000035,"",All,d,All,d,44,"",100,""
66,2006/07,S12000008,"",All,d,All,d,466,"",100,""
67,2007/08,S12000008,"",All,d,All,d,385,"",100,""
68,2008/09,S12000008,"",All,d,All,d,463,"",100,""
69,2009/10,S12000008,"",All,d,All,d,464,"",100,""
70,2010/11,S12000008,"",All,d,All,d,457,"",100,""
71,2011/12,S12000008,"",All,d,All,d,452,"",100,""
72,2012/13,S12000008,"",All,d,All,d,369,"",100,""
73,2013/14,S12000008,"",All,d,All,d,511,"",100,""
74,2014/15,S12000008,"",All,d,All,d,491,"",100,""
75,2015/16,S12000008,"",All,d,All,d,451,"",100,""
76,2016/17,S12000008,"",All,d,All,d,372,"",100,""
77,2017/18,S12000008,"",All,d,All,d,294,"",100,""
78,2018/19,S12000008,"",All,d,All,d,374,"",100,""
79,2006/07,S12000021,"",All,d,All,d,466,"",100,""
80,2007/08,S12000021,"",All,d,All,d,342,"",100,""
81,2008/09,S12000021,"",All,d,All,d,449,"",100,""
82,2009/10,S12000021,"",All,d,All,d,681,"",100,""
83,2010/11,S12000021,"",All,d,All,d,620,"",100,""
84,2011/12,S12000021,"",All,d,All,d,441,"",100,""
85,2012/13,S12000021,"",All,d,All,d,446,"",100,""
86,2013/14,S12000021,"",All,d,All,d,539,"",100,""
87,2014/15,S12000021,"",All,d,All,d,455,"",100,""
88,2015/16,S12000021,"",All,d,All,d,491,"",100,""
89,2016/17,S12000021,"",All,d,All,d,400,"",100,""
90,2017/18,S12000021,"",All,d,All,d,350,"",100,""
91,2018/19,S12000021,"",All,d,All,d,412,"",100,""
92,2006/07,S12000028,"",All,d,All,d,219,"",100,""
93,2007/08,S12000028,"",All,d,All,d,235,"",100,""
94,2008/09,S12000028,"",All,d,All,d,190,"",100,""
95,2009/10,S12000028,"",All,d,All,d,247,"",100,""
96,2010/11,S12000028,"",All,d,All,d,254,"",100,""
97,2011/12,S12000028,"",All,d,All,d,280,"",100,""
98,2012/13,S12000028,"",All,d,All,d,269,"",100,""
99,2013/14,S12000028,"",All,d,All,d,320,"",100,""
100,2014/15,S12000028,"",All,d,All,d,287,"",100,""
101,2015/16,S12000028,"",All,d,All,d,236,"",100,""
102,2016/17,S12000028,"",All,d,All,d,224,"",100,""
103,2017/18,S12000028,"",All,d,All,d,267,"",100,""
104,2018/19,S12000028,"",All,d,All,d,256,"",100,""
105,2006/07,S12000026,"",All,d,All,d,128,"",100,""
106,2007/08,S12000026,"",All,d,All,d,185,"",100,""
107,2008/09,S12000026,"",All,d,All,d,182,"",100,""
108,2009/10,S12000026,"",All,d,All,d,192,"",100,""
109,2010/11,S12000026,"",All,d,All,d,190,"",100,""
110,2011/12,S12000026,"",All,d,All,d,220,"",100,""
111,2012/13,S12000026,"",All,d,All,d,165,"",100,""
112,2013/14,S12000026,"",All,d,All,d,185,"",100,""
113,2014/15,S12000026,"",All,d,All,d,142,"",100,""
114,2015/16,S12000026,"",All,d,All,d,152,"",100,""
115,2016/17,S12000026,"",All,d,All,d,215,"",100,""
116,2017/18,S12000026,"",All,d,All,d,156,"",100,""
117,2018/19,S12000026,"",All,d,All,d,187,"",100,""
118,2006/07,S12000005,"",All,d,All,d,130,"",100,""
119,2007/08,S12000005,"",All,d,All,d,116,"",100,""
120,2008/09,S12000005,"",All,d,All,d,129,"",100,""
121,2009/10,S12000005,"",All,d,All,d,126,"",100,""
122,2010/11,S12000005,"",All,d,All,d,162,"",100,""
123,2011/12,S12000005,"",All,d,All,d,136,"",100,""
124,2012/13,S12000005,"",All,d,All,d,141,"",100,""
125,2013/14,S12000005,"",All,d,All,d,144,"",100,""
126,2014/15,S12000005,"",All,d,All,d,164,"",100,""
127,2015/16,S12000005,"",All,d,All,d,154,"",100,""
128,2016/17,S12000005,"",All,d,All,d,141,"",100,""
129,2017/18,S12000005,"",All,d,All,d,158,"",100,""
130,2018/19,S12000005,"",All,d,All,d,174,"",100,""
131,2006/07,S12000006,"",All,d,All,d,318,"",100,""
132,2007/08,S12000006,"",All,d,All,d,203,"",100,""
133,2008/09,S12000006,"",All,d,All,d,206,"",100,""
134,2009/10,S12000006,"",All,d,All,d,211,"",100,""
135,2010/11,S12000006,"",All,d,All,d,269,"",100,""
136,2011/12,S12000006,"",All,d,All,d,264,"",100,""
137,2012/13,S12000006,"",All,d,All,d,322,"",100,""
138,2013/14,S12000006,"",All,d,All,d,378,"",100,""
139,2014/15,S12000006,"",All,d,All,d,354,"",100,""
140,2015/16,S12000006,"",All,d,All,d,352,"",100,""
141,2016/17,S12000006,"",All,d,All,d,331,"",100,""
142,2017/18,S12000006,"",All,d,All,d,327,"",100,""
143,2018/19,S12000006,"",All,d,All,d,324,"",100,""
144,2006/07,S12000045,"",All,d,All,d,67,"",100,""
145,2007/08,S12000045,"",All,d,All,d,96,"",100,""
146,2008/09,S12000045,"",All,d,All,d,114,"",100,""
147,2009/10,S12000045,"",All,d,All,d,68,"",100,""
148,2010/11,S12000045,"",All,d,All,d,54,"",100,""
149,2011/12,S12000045,"",All,d,All,d,115,"",100,""
150,2012/13,S12000045,"",All,d,All,d,132,"",100,""
151,2013/14,S12000045,"",All,d,All,d,100,"",100,""
152,2014/15,S12000045,"",All,d,All,d,84,"",100,""
153,2015/16,S12000045,"",All,d,All,d,32,"",100,""
154,2016/17,S12000045,"",All,d,All,d,41,"",100,""
155,2017/18,S12000045,"",All,d,All,d,67,"",100,""
156,2018/19,S12000045,"",All,d,All,d,67,"",100,""
157,2006/07,S12000039,"",All,d,All,d,402,"",100,""
158,2007/08,S12000039,"",All,d,All,d,385,"",100,""
159,2008/09,S12000039,"",All,d,All,d,507,"",100,""
160,2009/10,S12000039,"",All,d,All,d,431,"",100,""
161,2010/11,S12000039,"",All,d,All,d,421,"",100,""
162,2011/12,S12000039,"",All,d,All,d,416,"",100,""
163,2012/13,S12000039,"",All,d,All,d,337,"",100,""
164,2013/14,S12000039,"",All,d,All,d,366,"",100,""
165,2014/15,S12000039,"",All,d,All,d,371,"",100,""
166,2015/16,S12000039,"",All,d,All,d,310,"",100,""
167,2016/17,S12000039,"",All,d,All,d,291,"",100,""
168,2017/18,S12000039,"",All,d,All,d,271,"",100,""
169,2018/19,S12000039,"",All,d,All,d,317,"",100,""
170,2006/07,S12000042,"",All,d,All,d,569,"",100,""
171,2007/08,S12000042,"",All,d,All,d,756,"",100,""
172,2008/09,S12000042,"",All,d,All,d,886,"",100,""
173,2009/10,S12000042,"",All,d,All,d,683,"",100,""
174,2010/11,S12000042,"",All,d,All,d,470,"",100,""
175,2011/12,S12000042,"",All,d,All,d,396,"",100,""
176,2012/13,S12000042,"",All,d,All,d,519,"",100,""
177,2013/14,S12000042,"",All,d,All,d,,:,,:
178,2014/15,S12000042,"",All,d,All,d,476,"",100,""
179,2015/16,S12000042,"",All,d,All,d,373,"",100,""
180,2016/17,S12000042,"",All,d,All,d,320,"",100,""
181,2017/18,S12000042,"",All,d,All,d,360,"",100,""
182,2018/19,S12000042,"",All,d,All,d,303,"",100,""
183,2006/07,S12000036,"",All,d,All,d,1128,"",100,""
184,2007/08,S12000036,"",All,d,All,d,1308,"",100,""
185,2008/09,S12000036,"",All,d,All,d,1440,"",100,""
186,2009/10,S12000036,"",All,d,All,d,1091,"",100,""
187,2010/11,S12000036,"",All,d,All,d,1197,"",100,""
188,2011/12,S12000036,"",All,d,All,d,1172,"",100,""
189,2012/13,S12000036,"",All,d,All,d,953,"",100,""
190,2013/14,S12000036,"",All,d,All,d,1163,"",100,""
191,2014/15,S12000036,"",All,d,All,d,1169,"",100,""
192,2015/16,S12000036,"",All,d,All,d,1260,"",100,""
193,2016/17,S12000036,"",All,d,All,d,1470,"",100,""
194,2017/18,S12000036,"",All,d,All,d,1236,"",100,""
195,2018/19,S12000036,"",All,d,All,d,1220,"",100,""
196,2006/07,S12000013,"",All,d,All,d,28,"",100,""
197,2007/08,S12000013,"",All,d,All,d,36,"",100,""
198,2008/09,S12000013,"",All,d,All,d,29,"",100,""
199,2009/10,S12000013,"",All,d,All,d,15,"",100,""
200,2010/11,S12000013,"",All,d,All,d,33,"",100,""
201,2011/12,S12000013,"",All,d,All,d,38,"",100,""
202,2012/13,S12000013,"",All,d,All,d,28,"",100,""
203,2013/14,S12000013,"",All,d,All,d,21,"",100,""
204,2014/15,S12000013,"",All,d,All,d,24,"",100,""
205,2015/16,S12000013,"",All,d,All,d,28,"",100,""
206,2016/17,S12000013,"",All,d,All,d,34,"",100,""
207,2017/18,S12000013,"",All,d,All,d,19,"",100,""
208,2018/19,S12000013,"",All,d,All,d,12,"",100,""
209,2006/07,S12000014,"",All,d,All,d,312,"",100,""
210,2007/08,S12000014,"",All,d,All,d,271,"",100,""
211,2008/09,S12000014,"",All,d,All,d,295,"",100,""
212,2009/10,S12000014,"",All,d,All,d,263,"",100,""
213,2010/11,S12000014,"",All,d,All,d,273,"",100,""
214,2011/12,S12000014,"",All,d,All,d,275,"",100,""
215,2012/13,S12000014,"",All,d,All,d,284,"",100,""
216,2013/14,S12000014,"",All,d,All,d,377,"",100,""
217,2014/15,S12000014,"",All,d,All,d,410,"",100,""
218,2015/16,S12000014,"",All,d,All,d,327,"",100,""
219,2016/17,S12000014,"",All,d,All,d,297,"",100,""
220,2017/18,S12000014,"",All,d,All,d,370,"",100,""
221,2018/19,S12000014,"",All,d,All,d,379,"",100,""
222,2006/07,S12000047,"",All,d,All,d,1276,"",100,""
223,2007/08,S12000047,"",All,d,All,d,1878,"",100,""
224,2008/09,S12000047,"",All,d,All,d,946,"",100,""
225,2009/10,S12000047,"",All,d,All,d,921,"",100,""
226,2010/11,S12000047,"",All,d,All,d,1040,"",100,""
