_id,FinancialYear,HBR,HBRQF,AgeGroup,AgeGroupQF,Sex,SexQF,NumberAssessed,NumberAssessedQF,PercentAssessed,PercentAssessedQF
1,2006/07,S92000003,d,All,d,All,d,12186,"",100,""
2,2007/08,S92000003,d,All,d,All,d,12931,"",100,""
3,2008/09,S92000003,d,All,d,All,d,12117,"",100,""
4,2009/10,S92000003,d,All,d,All,d,11317,"",100,""
5,2010/11,S92000003,d,All,d,All,d,11427,"",100,""
6,2011/12,S92000003,d,All,d,All,d,11335,"",100,""
7,2012/13,S92000003,d,All,d,All,d,11672,"",100,""
8,2013/14,S92000003,d,All,d,All,d,,:,,:
9,2014/15,S92000003,d,All,d,All,d,12524,"",100,""
10,2015/16,S92000003,d,All,d,All,d,12140,"",100,""
11,2016/17,S92000003,d,All,d,All,d,11896,"",100,""
12,2017/18,S92000003,d,All,d,All,d,11031,"",100,""
13,2018/19,S92000003,d,All,d,All,d,10757,"",100,""
14,2006/07,S08000015,"",All,d,All,d,1146,"",100,""
15,2007/08,S08000015,"",All,d,All,d,959,"",100,""
16,2008/09,S08000015,"",All,d,All,d,1101,"",100,""
17,2009/10,S08000015,"",All,d,All,d,1383,"",100,""
18,2010/11,S08000015,"",All,d,All,d,1328,"",100,""
19,2011/12,S08000015,"",All,d,All,d,1166,"",100,""
20,2012/13,S08000015,"",All,d,All,d,1074,"",100,""
21,2013/14,S08000015,"",All,d,All,d,1363,"",100,""
22,2014/15,S08000015,"",All,d,All,d,1218,"",100,""
23,2015/16,S08000015,"",All,d,All,d,1166,"",100,""
24,2016/17,S08000015,"",All,d,All,d,986,"",100,""
25,2017/18,S08000015,"",All,d,All,d,898,"",100,""
26,2018/19,S08000015,"",All,d,All,d,1025,"",100,""
27,2006/07,S08000016,"",All,d,All,d,128,"",100,""
28,2007/08,S08000016,"",All,d,All,d,185,"",100,""
29,2008/09,S08000016,"",All,d,All,d,182,"",100,""
30,2009/10,S08000016,"",All,d,All,d,192,"",100,""
31,2010/11,S08000016,"",All,d,All,d,190,"",100,""
32,2011/12,S08000016,"",All,d,All,d,220,"",100,""
33,2012/13,S08000016,"",All,d,All,d,165,"",100,""
34,2013/14,S08000016,"",All,d,All,d,185,"",100,""
35,2014/15,S08000016,"",All,d,All,d,142,"",100,""
36,2015/16,S08000016,"",All,d,All,d,152,"",100,""
37,2016/17,S08000016,"",All,d,All,d,215,"",100,""
38,2017/18,S08000016,"",All,d,All,d,156,"",100,""
39,2018/19,S08000016,"",All,d,All,d,187,"",100,""
40,2006/07,S08000017,"",All,d,All,d,318,"",100,""
41,2007/08,S08000017,"",All,d,All,d,203,"",100,""
42,2008/09,S08000017,"",All,d,All,d,206,"",100,""
43,2009/10,S08000017,"",All,d,All,d,211,"",100,""
44,2010/11,S08000017,"",All,d,All,d,269,"",100,""
45,2011/12,S08000017,"",All,d,All,d,264,"",100,""
46,2012/13,S08000017,"",All,d,All,d,322,"",100,""
47,2013/14,S08000017,"",All,d,All,d,378,"",100,""
48,2014/15,S08000017,"",All,d,All,d,354,"",100,""
49,2015/16,S08000017,"",All,d,All,d,352,"",100,""
50,2016/17,S08000017,"",All,d,All,d,331,"",100,""
51,2017/18,S08000017,"",All,d,All,d,327,"",100,""
52,2018/19,S08000017,"",All,d,All,d,324,"",100,""
53,2006/07,S08000029,"",All,d,All,d,1276,"",100,""
54,2007/08,S08000029,"",All,d,All,d,1878,"",100,""
55,2008/09,S08000029,"",All,d,All,d,946,"",100,""
56,2009/10,S08000029,"",All,d,All,d,921,"",100,""
57,2010/11,S08000029,"",All,d,All,d,1040,"",100,""
58,2011/12,S08000029,"",All,d,All,d,941,"",100,""
59,2012/13,S08000029,"",All,d,All,d,1035,"",100,""
60,2013/14,S08000029,"",All,d,All,d,1130,"",100,""
61,2014/15,S08000029,"",All,d,All,d,1135,"",100,""
62,2015/16,S08000029,"",All,d,All,d,1196,"",100,""
63,2016/17,S08000029,"",All,d,All,d,904,"",100,""
64,2017/18,S08000029,"",All,d,All,d,994,"",100,""
65,2018/19,S08000029,"",All,d,All,d,911,"",100,""
66,2006/07,S08000019,"",All,d,All,d,568,"",100,""
67,2007/08,S08000019,"",All,d,All,d,542,"",100,""
68,2008/09,S08000019,"",All,d,All,d,572,"",100,""
69,2009/10,S08000019,"",All,d,All,d,549,"",100,""
70,2010/11,S08000019,"",All,d,All,d,617,"",100,""
71,2011/12,S08000019,"",All,d,All,d,585,"",100,""
72,2012/13,S08000019,"",All,d,All,d,613,"",100,""
73,2013/14,S08000019,"",All,d,All,d,698,"",100,""
74,2014/15,S08000019,"",All,d,All,d,802,"",100,""
75,2015/16,S08000019,"",All,d,All,d,680,"",100,""
76,2016/17,S08000019,"",All,d,All,d,616,"",100,""
77,2017/18,S08000019,"",All,d,All,d,690,"",100,""
78,2018/19,S08000019,"",All,d,All,d,745,"",100,""
79,2006/07,S08000020,"",All,d,All,d,883,"",100,""
80,2007/08,S08000020,"",All,d,All,d,1071,"",100,""
81,2008/09,S08000020,"",All,d,All,d,942,"",100,""
82,2009/10,S08000020,"",All,d,All,d,884,"",100,""
83,2010/11,S08000020,"",All,d,All,d,1012,"",100,""
84,2011/12,S08000020,"",All,d,All,d,1004,"",100,""
85,2012/13,S08000020,"",All,d,All,d,1046,"",100,""
86,2013/14,S08000020,"",All,d,All,d,1089,"",100,""
87,2014/15,S08000020,"",All,d,All,d,1160,"",100,""
88,2015/16,S08000020,"",All,d,All,d,1281,"",100,""
89,2016/17,S08000020,"",All,d,All,d,1312,"",100,""
90,2017/18,S08000020,"",All,d,All,d,1335,"",100,""
91,2018/19,S08000020,"",All,d,All,d,1262,"",100,""
92,2006/07,S08000031,"",All,d,All,d,3346,"",100,""
93,2007/08,S08000031,"",All,d,All,d,3117,"",100,""
94,2008/09,S08000031,"",All,d,All,d,3227,"",100,""
95,2009/10,S08000031,"",All,d,All,d,2690,"",100,""
96,2010/11,S08000031,"",All,d,All,d,2718,"",100,""
97,2011/12,S08000031,"",All,d,All,d,3001,"",100,""
98,2012/13,S08000031,"",All,d,All,d,3261,"",100,""
99,2013/14,S08000031,"",All,d,All,d,,:,,:
100,2014/15,S08000031,"",All,d,All,d,3046,"",100,""
101,2015/16,S08000031,"",All,d,All,d,2501,"",100,""
102,2016/17,S08000031,"",All,d,All,d,2609,"",100,""
103,2017/18,S08000031,"",All,d,All,d,2361,"",100,""
104,2018/19,S08000031,"",All,d,All,d,2176,"",100,""
105,2006/07,S08000022,"",All,d,All,d,809,"",100,""
106,2007/08,S08000022,"",All,d,All,d,536,"",100,""
107,2008/09,S08000022,"",All,d,All,d,375,"",100,""
108,2009/10,S08000022,"",All,d,All,d,393,"",100,""
109,2010/11,S08000022,"",All,d,All,d,331,"",100,""
110,2011/12,S08000022,"",All,d,All,d,360,"",100,""
111,2012/13,S08000022,"",All,d,All,d,332,"",100,""
112,2013/14,S08000022,"",All,d,All,d,282,"",100,""
113,2014/15,S08000022,"",All,d,All,d,336,"",100,""
114,2015/16,S08000022,"",All,d,All,d,234,"",100,""
115,2016/17,S08000022,"",All,d,All,d,260,"",100,""
116,2017/18,S08000022,"",All,d,All,d,242,"",100,""
117,2018/19,S08000022,"",All,d,All,d,221,"",100,""
118,2006/07,S08000032,"",All,d,All,d,736,"",100,""
119,2007/08,S08000032,"",All,d,All,d,928,"",100,""
120,2008/09,S08000032,"",All,d,All,d,853,"",100,""
121,2009/10,S08000032,"",All,d,All,d,1200,"",100,""
122,2010/11,S08000032,"",All,d,All,d,1189,"",100,""
123,2011/12,S08000032,"",All,d,All,d,1092,"",100,""
124,2012/13,S08000032,"",All,d,All,d,1177,"",100,""
125,2013/14,S08000032,"",All,d,All,d,1383,"",100,""
126,2014/15,S08000032,"",All,d,All,d,1283,"",100,""
127,2015/16,S08000032,"",All,d,All,d,1643,"",100,""
128,2016/17,S08000032,"",All,d,All,d,1581,"",100,""
129,2017/18,S08000032,"",All,d,All,d,1426,"",100,""
130,2018/19,S08000032,"",All,d,All,d,1444,"",100,""
131,2006/07,S08000024,"",All,d,All,d,2069,"",100,""
132,2007/08,S08000024,"",All,d,All,d,2190,"",100,""
133,2008/09,S08000024,"",All,d,All,d,2278,"",100,""
134,2009/10,S08000024,"",All,d,All,d,1902,"",100,""
135,2010/11,S08000024,"",All,d,All,d,1912,"",100,""
136,2011/12,S08000024,"",All,d,All,d,1869,"",100,""
137,2012/13,S08000024,"",All,d,All,d,1690,"",100,""
138,2013/14,S08000024,"",All,d,All,d,2019,"",100,""
139,2014/15,S08000024,"",All,d,All,d,2166,"",100,""
140,2015/16,S08000024,"",All,d,All,d,2111,"",100,""
141,2016/17,S08000024,"",All,d,All,d,2302,"",100,""
142,2017/18,S08000024,"",All,d,All,d,1951,"",100,""
143,2018/19,S08000024,"",All,d,All,d,1915,"",100,""
144,2006/07,S08000025,"",All,d,All,d,8,"",100,""
145,2007/08,S08000025,"",All,d,All,d,,c,,c
146,2008/09,S08000025,"",All,d,All,d,,c,,c
147,2009/10,S08000025,"",All,d,All,d,,c,,c
148,2010/11,S08000025,"",All,d,All,d,5,"",100,""
149,2011/12,S08000025,"",All,d,All,d,,c,,c
150,2012/13,S08000025,"",All,d,All,d,,c,,c
151,2013/14,S08000025,"",All,d,All,d,8,"",100,""
152,2014/15,S08000025,"",All,d,All,d,,c,,c
153,2015/16,S08000025,"",All,d,All,d,5,"",100,""
154,2016/17,S08000025,"",All,d,All,d,,c,,c
155,2017/18,S08000025,"",All,d,All,d,5,"",100,""
156,2006/07,S08000026,"",All,d,All,d,46,"",100,""
157,2007/08,S08000026,"",All,d,All,d,45,"",100,""
158,2008/09,S08000026,"",All,d,All,d,49,"",100,""
159,2009/10,S08000026,"",All,d,All,d,65,"",100,""
160,2010/11,S08000026,"",All,d,All,d,69,"",100,""
161,2011/12,S08000026,"",All,d,All,d,46,"",100,""
162,2012/13,S08000026,"",All,d,All,d,39,"",100,""
163,2013/14,S08000026,"",All,d,All,d,35,"",100,""
164,2014/15,S08000026,"",All,d,All,d,27,"",100,""
165,2015/16,S08000026,"",All,d,All,d,25,"",100,""
166,2016/17,S08000026,"",All,d,All,d,41,"",100,""
167,2017/18,S08000026,"",All,d,All,d,31,"",100,""
168,2018/19,S08000026,"",All,d,All,d,31,"",100,""
169,2006/07,S08000030,"",All,d,All,d,907,"",100,""
170,2007/08,S08000030,"",All,d,All,d,1307,"",100,""
171,2008/09,S08000030,"",All,d,All,d,1410,"",100,""
172,2009/10,S08000030,"",All,d,All,d,960,"",100,""
173,2010/11,S08000030,"",All,d,All,d,785,"",100,""
174,2011/12,S08000030,"",All,d,All,d,816,"",100,""
175,2012/13,S08000030,"",All,d,All,d,974,"",100,""
176,2013/14,S08000030,"",All,d,All,d,,:,,:
177,2014/15,S08000030,"",All,d,All,d,927,"",100,""
178,2015/16,S08000030,"",All,d,All,d,880,"",100,""
179,2016/17,S08000030,"",All,d,All,d,791,"",100,""
180,2017/18,S08000030,"",All,d,All,d,657,"",100,""
181,2018/19,S08000030,"",All,d,All,d,570,"",100,""
182,2006/07,S08000028,"",All,d,All,d,28,"",100,""
183,2007/08,S08000028,"",All,d,All,d,36,"",100,""
184,2008/09,S08000028,"",All,d,All,d,29,"",100,""
185,2009/10,S08000028,"",All,d,All,d,15,"",100,""
186,2010/11,S08000028,"",All,d,All,d,33,"",100,""
187,2011/12,S08000028,"",All,d,All,d,38,"",100,""
188,2012/13,S08000028,"",All,d,All,d,28,"",100,""
189,2013/14,S08000028,"",All,d,All,d,21,"",100,""
190,2014/15,S08000028,"",All,d,All,d,24,"",100,""
191,2015/16,S08000028,"",All,d,All,d,28,"",100,""
192,2016/17,S08000028,"",All,d,All,d,34,"",100,""
193,2017/18,S08000028,"",All,d,All,d,19,"",100,""
194,2018/19,S08000028,"",All,d,All,d,12,"",100,""
195,2006/07,S92000003,d,Under 20yrs old,"",All,d,1054,"",8.64927,""
196,2006/07,S92000003,d,20 to 24 yrs old,"",All,d,2075,"",17.02774,""
197,2006/07,S92000003,d,25 to 29 yrs old,"",All,d,2905,"",23.83883,""
198,2006/07,S92000003,d,30 to 34 yrs old,"",All,d,2603,"",21.36058,""
199,2006/07,S92000003,d,35 to 39 yrs old,"",All,d,1766,"",14.49204,""
200,2006/07,S92000003,d,40 to 44 yrs old,"",All,d,982,"",8.05843,""
201,2006/07,S92000003,d,45+ yrs old,"",All,d,801,"",6.57312,""
202,2006/07,S92000003,d,Unknown,"",All,d,0,"",0,""
203,2007/08,S92000003,d,Under 20yrs old,"",All,d,1043,"",8.06589,""
204,2007/08,S92000003,d,20 to 24 yrs old,"",All,d,2124,"",16.42564,""
205,2007/08,S92000003,d,25 to 29 yrs old,"",All,d,3017,"",23.33153,""
206,2007/08,S92000003,d,30 to 34 yrs old,"",All,d,2666,"",20.61712,""
207,2007/08,S92000003,d,35 to 39 yrs old,"",All,d,1967,"",15.21151,""
208,2007/08,S92000003,d,40 to 44 yrs old,"",All,d,1104,"",8.53762,""
209,2007/08,S92000003,d,45+ yrs old,"",All,d,1008,"",7.79522,""
210,2007/08,S92000003,d,Unknown,"",All,d,2,"",0.01547,""
211,2008/09,S92000003,d,Under 20yrs old,"",All,d,924,"",7.62565,""
212,2008/09,S92000003,d,20 to 24 yrs old,"",All,d,1838,"",15.16877,""
213,2008/09,S92000003,d,25 to 29 yrs old,"",All,d,2859,"",23.59495,""
214,2008/09,S92000003,d,30 to 34 yrs old,"",All,d,2474,"",20.4176,""
215,2008/09,S92000003,d,35 to 39 yrs old,"",All,d,1814,"",14.9707,""
216,2008/09,S92000003,d,40 to 44 yrs old,"",All,d,1170,"",9.65586,""
